codigo,descricao
"4.09.00000003896,CHAVE DE BOCA PARA TAMBOR DE 200 LITROS PARA PORCA 3/4"" E 2"""
4.09.00000003897,CHAVE SOQUETE DE IMPACTO COM PONTA ALLEN 19MM COM ENCAIXE DE 3/4 POL.
4.09.00000003898,LANTERNA SUPERLED CREE LLV 1500
4.09.00000003899,LANTERNA RECAR 9LEDS BIVOLT LRV225
4.09.00000003900,CHAVE SONDA LAMBDA SEXT 22MM ENC 3/8 COMP 80MM
4.09.00000003901,PARAFUSADEIRA/FURADEIRA COM 37 PEÄAS
4.09.00000003902,RASTREADOR DE FIOS
4.09.00000003903,HASTE ADAPTADORA
4.09.00000003904,PONTEIRO 250MM
4.09.00000003905,TALHADEIRA 20X250MM
4.09.00000003906,TALHADEIRA 3/4X12
4.09.00000003907,CONJ. EQUIP. LUBRIFICACAO C/ BANCADA E CARRETEIS GR/OL
4.09.00000003908,SOQUETE MAGNETICO 5/16
4.09.00000003909,SOQUETE MAGNETICO 3/8
4.09.00000003910,TACOGRAFO DIGITAL SEVA
4.09.00000003911,EXTRATOR DE PEDRA
"4.09.00000003912,CHAVE IMP. 3/8"" ANGULAR BAT 18V CIV183"
4.09.00000003913,CHAVE CORTA CORRENTE
4.09.00000003914,CALIBRE ROSCA 58 LAMINAS
"4.09.00000003915,CHAVE COMBINADA 2"""
4.09.00000003916,CHAVE COMBINADA 1.7/8 POLEGADAS
4.09.00000003917,REGULADOR DE PRESSAO PARA MISTURA 
4.09.00000003918,PONTEIRO 280X400 SEXT MARTELETE
4.09.00000003919,CHAVE DE IMPACTO 1'' A BATERIA 40V
4.09.00000003920,CHAVE PARA ESMERILHADEIRA MULTI MEDIDAS
4.09.00000004090,BOX ALUMINIO RETO P/ELETR.H 3/4 TRMONTINA
"4.09.00000004162,SOQUETE SEXTAVADO DE 3/4"" DE 1.1/4"" - REF. GEDORE 32 - 1.1/4"""
4.09.00000004180,BALDE COM GRADUACAO LATAO 20 LT
4.09.00000004239,PISTOLA ARPREX 02-A MEDIA PRESSAO
"4.09.00000004244,CHAVE INGLESA (12"")"
"4.09.00000004445,SARGENTO 4"""
4.09.00000004453,ESCADA DE ALUM÷NIO TREPADEIRA 3 DEGRAUS + PATAMAR
4.09.00000004481,CAVALETE - CAP. 14 TONELADAS
4.09.00000004492,JG CHAVE TORX LONGA 10 PCS T9 A T50 WORKER REF: 492
